session_id,group,pre_score,post_score,rouge_l,ai_latency_ms,server_latency_ms,satisfaction
s-1760949635982-224,Tandemly,50,66,0.761,300,79,9.4
s-1760949635983-225,Moodle,52,64,0.702,459,92,7.4
s-1760949635986-226,Google,61,72,0.725,253,45,7.3
s-1760949635986-227,Teams,51,63,0.694,496,58,7
s-1760949635987-228,Tandemly,47,54,0.794,294,103,9.8
s-1760949635987-229,Moodle,54,54,0.706,417,46,7.2
s-1760949635988-230,Google,33,44,0.728,316,115,7.1
s-1760949635988-231,Teams,56,62,0.669,498,57,7.5
s-1760949635989-232,Tandemly,49,58,0.774,208,94,9.3
s-1760949635989-233,Moodle,41,41,0.726,356,96,7.3
s-1760949635989-234,Google,35,35,0.719,470,77,7.2
s-1760949635989-235,Teams,67,72,0.74,333,98,7.3
s-1760949635990-236,Tandemly,67,74,0.779,208,44,9.6
s-1760949635990-237,Moodle,55,56,0.669,478,73,7
s-1760949635990-238,Google,38,44,0.666,388,49,7.1
s-1760949635991-239,Teams,62,75,0.704,352,74,7
s-1760949635991-240,Tandemly,41,55,0.806,229,43,9.3
s-1760949635991-241,Moodle,63,70,0.727,281,65,7.2
s-1760949635991-242,Google,33,33,0.729,478,57,7.4
s-1760949635991-243,Teams,65,65,0.669,299,73,7.2
s-1760949635992-244,Tandemly,36,48,0.815,302,49,9.2
s-1760949635992-245,Moodle,38,41,0.67,479,105,7.3
s-1760949635992-246,Google,34,45,0.698,414,59,7.5
s-1760949635992-247,Teams,59,67,0.69,360,68,7.3
s-1760949635993-248,Tandemly,48,64,0.78,215,52,9.3
s-1760949635993-249,Moodle,59,67,0.672,388,119,7.4
s-1760949635993-250,Google,33,36,0.732,384,72,7.6
s-1760949635993-251,Teams,46,46,0.736,309,71,7.1
s-1760949635994-252,Tandemly,46,54,0.788,300,68,9.2
s-1760949635994-253,Moodle,39,44,0.693,350,86,7.5
s-1760949635994-254,Google,44,45,0.738,295,63,7.4
s-1760949635994-255,Teams,48,61,0.686,295,43,7.3
s-1760949635995-256,Tandemly,64,80,0.782,268,64,9
s-1760949635995-257,Moodle,65,77,0.736,484,113,7.1
s-1760949635996-258,Google,50,64,0.689,290,86,7.4
s-1760949635996-259,Teams,36,36,0.663,362,68,7
s-1760949635997-260,Tandemly,48,57,0.814,294,98,10
s-1760949635997-261,Moodle,61,61,0.719,492,55,7.1
s-1760949635997-262,Google,60,60,0.716,464,116,7.3
s-1760949635998-263,Teams,64,69,0.668,382,103,7.5
s-1760949635998-264,Tandemly,49,66,0.8,268,104,9.6
s-1760949635999-265,Moodle,59,59,0.709,438,57,7.3
s-1760949635999-266,Google,54,59,0.678,467,66,7.3
s-1760949635999-267,Teams,33,33,0.695,336,65,7.4
s-1760949636000-268,Tandemly,36,43,0.792,283,48,9.1
s-1760949636000-269,Moodle,47,47,0.662,342,52,7.3
s-1760949636001-270,Google,49,61,0.725,376,45,7
s-1760949636001-271,Teams,51,54,0.67,396,68,7.3
s-1760949636001-272,Tandemly,44,67,0.803,317,119,9
s-1760949636002-273,Moodle,46,46,0.727,320,85,7.5
s-1760949636002-274,Google,33,33,0.684,447,42,7.2
s-1760949636002-275,Teams,48,48,0.728,401,60,7.5
s-1760949636003-276,Tandemly,47,63,0.748,247,101,9.1
s-1760949636003-277,Moodle,63,72,0.704,351,55,7
s-1760949636004-278,Google,57,57,0.717,284,87,7.5
s-1760949636004-279,Teams,53,53,0.697,256,61,7.5
s-1760949636004-280,Tandemly,32,43,0.783,231,43,9.9
s-1760949636005-281,Moodle,43,46,0.717,358,86,7.2
s-1760949636005-282,Google,35,43,0.695,275,42,7.4
s-1760949636006-283,Teams,54,65,0.728,362,66,7.1
s-1760949636006-284,Tandemly,33,53,0.803,267,88,9.5
s-1760949636006-285,Moodle,40,43,0.666,332,60,7.1
s-1760949636007-286,Google,62,75,0.709,469,89,7.1
s-1760949636007-287,Teams,64,74,0.675,275,62,7.6
s-1760949636007-288,Tandemly,54,71,0.794,199,108,9.3
s-1760949636008-289,Moodle,33,43,0.691,264,79,7
s-1760949636011-290,Google,68,80,0.674,259,110,7.5
s-1760949636011-291,Teams,40,40,0.718,263,86,7.4
s-1760949636012-292,Tandemly,42,61,0.776,186,81,9.9
s-1760949636012-293,Moodle,59,59,0.671,408,69,7.4
s-1760949636013-294,Google,63,63,0.706,264,75,7.4
s-1760949636013-295,Teams,47,59,0.74,257,88,7.1
s-1760949636014-296,Tandemly,43,56,0.806,231,111,9.8
s-1760949636014-297,Moodle,66,76,0.663,254,116,7.5
s-1760949636014-298,Google,55,66,0.73,331,65,7
s-1760949636015-299,Teams,39,42,0.697,372,42,7.1
