session_id,group,pre_score,post_score,rouge_l,ai_latency_ms,server_latency_ms,satisfaction,gain
s-1760947419193-29,Moodle,38,51,0.678,468,90,7.2,13
s-1760947419207-30,Google,39,39,0.708,260,62,7.2,0
s-1760947419220-31,Teams,37,37,0.716,263,58,7.2,0
s-1760947419234-32,Tandemly,42,49,0.781,206,86,10.0,7
s-1760947419248-33,Moodle,37,44,0.697,343,54,7.2,7
s-1760947419263-34,Google,35,45,0.664,331,65,7.3,10
s-1760947419282-35,Teams,32,33,0.672,379,46,7.3,1
s-1760947419295-36,Tandemly,49,72,0.75,307,84,8.8,23
s-1760947419308-37,Moodle,67,67,0.695,365,79,7.5,0
s-1760947419324-38,Google,49,57,0.688,291,55,7.3,8
s-1760947419337-39,Teams,65,70,0.722,441,46,7.4,5
s-1760947419351-40,Tandemly,48,61,0.762,260,94,10.0,13
s-1760947419364-41,Moodle,65,72,0.738,415,57,7.5,7
s-1760947419376-42,Google,67,78,0.683,304,77,7.3,11
s-1760947419390-43,Teams,33,42,0.735,428,73,7.3,9
s-1760947419403-44,Tandemly,34,43,0.799,319,107,9.3,9
s-1760947419415-45,Moodle,63,68,0.694,296,113,7.2,5
s-1760947419432-46,Google,39,48,0.699,427,80,7.0,9
s-1760947419448-47,Teams,42,44,0.711,257,79,7.2,2
s-1760947419460-48,Tandemly,65,76,0.77,229,119,9.3,11
s-1760947419473-49,Moodle,56,69,0.682,389,81,7.4,13
s-1760947419486-50,Google,67,70,0.689,388,43,7.2,3
s-1760947419499-51,Teams,43,55,0.691,333,96,7.5,12
s-1760947419515-52,Tandemly,66,87,0.772,256,100,9.5,21
s-1760947419528-53,Moodle,55,57,0.681,329,40,7.1,2
s-1760947419540-54,Google,55,58,0.69,324,102,7.5,3
s-1760947419553-55,Teams,51,60,0.739,250,43,7.3,9
s-1760947419566-56,Tandemly,60,79,0.748,175,88,9.9,19
s-1760947419578-57,Moodle,54,54,0.683,313,61,7.3,0
s-1760947419590-58,Google,35,35,0.694,500,105,7.1,0
s-1760947419602-59,Teams,33,37,0.694,383,119,7.0,4
s-1760947419615-60,Tandemly,56,68,0.794,200,70,9.6,12
s-1760947419627-61,Moodle,45,49,0.729,414,55,7.6,4
s-1760947419639-62,Google,50,60,0.701,255,80,7.5,10
s-1760947419655-63,Teams,60,60,0.691,342,89,7.5,0
s-1760947419667-64,Tandemly,55,67,0.774,261,66,9.7,12
s-1760947419681-65,Moodle,62,73,0.698,432,90,7.4,11
s-1760947419693-66,Google,55,63,0.729,262,41,7.1,8
s-1760947419706-67,Teams,36,42,0.737,307,68,7.5,6
s-1760947419719-68,Tandemly,37,52,0.794,264,58,9.0,15
s-1760947419734-69,Moodle,45,52,0.737,442,62,7.2,7
s-1760947419747-70,Google,54,57,0.675,266,82,7.3,3
s-1760947419759-71,Teams,45,55,0.699,332,75,7.0,10
s-1760947419772-72,Tandemly,36,47,0.8,182,50,8.9,11
s-1760947419785-73,Moodle,39,52,0.721,475,97,7.1,13
s-1760947419797-74,Google,44,45,0.688,459,45,7.5,1
s-1760947419810-75,Teams,41,53,0.666,444,118,7.2,12
s-1760947419823-76,Tandemly,37,56,0.76,196,76,9.8,19
s-1760947419838-77,Moodle,40,52,0.724,443,55,7.2,12
s-1760947419850-78,Google,59,59,0.723,429,42,7.4,0
s-1760947419864-79,Teams,37,37,0.726,305,68,7.5,0
s-1760947419876-80,Tandemly,37,56,0.783,175,120,9.4,19
s-1760947419890-81,Moodle,50,57,0.69,315,68,7.1,7
s-1760947419905-82,Google,35,44,0.739,316,104,7.1,9
s-1760947419917-83,Teams,60,69,0.669,386,46,7.2,9
s-1760947419929-84,Tandemly,42,59,0.748,190,117,8.9,17
s-1760947419943-85,Moodle,37,40,0.708,395,104,7.5,3
s-1760947419959-86,Google,67,73,0.697,429,91,7.2,6
s-1760947419971-87,Teams,40,50,0.698,426,83,7.6,10
s-1760947419982-88,Tandemly,38,54,0.77,277,82,9.9,16
s-1760947419995-89,Moodle,41,43,0.705,445,109,7.5,2
s-1760947420007-90,Google,64,72,0.664,324,64,7.6,8
s-1760947420020-91,Teams,56,69,0.668,259,84,7.4,13
s-1760947420034-92,Tandemly,46,60,0.801,283,102,9.6,14
s-1760947420049-93,Moodle,66,69,0.668,286,81,7.1,3
s-1760947420062-94,Google,45,52,0.697,390,66,7.4,7
s-1760947420075-95,Teams,67,67,0.719,475,95,7.4,0
s-1760947420087-96,Tandemly,49,63,0.8,201,120,9.4,14
s-1760947420100-97,Moodle,57,62,0.695,498,81,7.3,5
s-1760947420112-98,Google,56,58,0.722,335,58,7.3,2
s-1760947420123-99,Teams,64,64,0.735,457,51,7.4,0
s-1760947420135-100,Tandemly,34,53,0.809,249,50,9.3,19
s-1760947420149-101,Moodle,34,43,0.662,409,66,7.4,9
s-1760947420162-102,Google,47,56,0.716,259,94,7.1,9
s-1760947420175-103,Teams,62,62,0.695,411,92,7.4,0
s-1760947420189-104,Tandemly,48,71,0.803,203,114,9.7,23
s-1760947420201-105,Moodle,34,34,0.731,492,104,7.6,0
s-1760947420214-106,Google,66,66,0.667,486,71,7.3,0
s-1760947420227-107,Teams,40,45,0.663,341,104,7.3,5
s-1760947420240-108,Tandemly,62,82,0.811,292,117,9.5,20
s-1760947420253-109,Moodle,56,62,0.707,403,81,7.5,6
s-1760947420266-110,Google,35,35,0.716,278,91,7.1,0
s-1760947420277-111,Teams,38,47,0.666,315,54,7.6,9
s-1760947420290-112,Tandemly,66,88,0.761,264,118,9.8,22
s-1760947420303-113,Moodle,52,58,0.685,457,79,7.2,6
s-1760947420315-114,Google,59,60,0.67,439,67,7.4,1
s-1760947420327-115,Teams,34,40,0.68,279,108,7.6,6
s-1760947420340-116,Tandemly,37,52,0.751,182,99,9.1,15
s-1760947420351-117,Moodle,52,52,0.696,259,72,7.6,0
s-1760947420364-118,Google,42,42,0.715,363,65,7.4,0
s-1760947420375-119,Teams,64,73,0.723,403,57,7.4,9
s-1760947420389-120,Tandemly,33,39,0.794,295,49,9.1,6
s-1760947420406-121,Moodle,42,47,0.706,392,90,7.6,5
s-1760947420417-122,Google,38,51,0.723,274,119,7.5,13
s-1760947420429-123,Teams,36,41,0.707,400,42,7.0,5
s-1760947420441-124,Tandemly,32,48,0.807,271,117,9.6,16
s-1760947420454-125,Moodle,39,51,0.68,334,100,7.4,12
s-1760947420467-126,Google,58,71,0.735,483,86,7.5,13
s-1760947420480-127,Teams,61,68,0.707,354,113,7.5,7
s-1760947420492-128,Tandemly,45,66,0.775,171,40,8.9,21
s-1760947420504-129,Moodle,56,61,0.706,252,82,7.5,5
s-1760947420516-130,Google,62,63,0.709,448,59,7.3,1
s-1760947420529-131,Teams,51,51,0.707,448,68,7.4,0
s-1760947420540-132,Tandemly,60,74,0.8,250,94,9.1,14
s-1760947420553-133,Moodle,36,40,0.712,386,78,7.5,4
s-1760947420565-134,Google,67,75,0.678,480,45,7.3,8
s-1760947420576-135,Teams,37,44,0.679,328,41,7.3,7
s-1760947420588-136,Tandemly,51,67,0.754,294,63,9.8,16
s-1760947420600-137,Moodle,34,41,0.686,326,73,7.3,7
s-1760947420613-138,Google,47,47,0.714,378,104,7.1,0
s-1760947420627-139,Teams,43,55,0.694,422,66,7.5,12
s-1760947420639-140,Tandemly,35,51,0.811,225,58,9.6,16
s-1760947420653-141,Moodle,52,55,0.705,399,105,7.6,3
s-1760947420664-142,Google,36,36,0.704,364,81,7.1,0
s-1760947420678-143,Teams,35,43,0.67,352,88,7.3,8
s-1760947420691-144,Tandemly,39,51,0.761,254,42,9.7,12
s-1760947420705-145,Moodle,37,39,0.723,379,60,7.3,2
s-1760947420718-146,Google,67,78,0.723,261,60,7.1,11
s-1760947420731-147,Teams,58,69,0.725,494,70,7.1,11
s-1760947420743-148,Tandemly,47,71,0.782,268,76,9.8,24
s-1760947420755-149,Moodle,67,73,0.729,446,42,7.0,6
s-1760947420769-150,Google,58,70,0.671,436,99,7.6,12
s-1760947420781-151,Teams,45,45,0.713,293,116,7.3,0
s-1760947420794-152,Tandemly,32,39,0.747,167,96,9.3,7
s-1760947420806-153,Moodle,67,76,0.702,270,50,7.1,9
s-1760947420819-154,Google,53,62,0.737,383,118,7.0,9
s-1760947420831-155,Teams,59,61,0.701,475,80,7.3,2
s-1760947420842-156,Tandemly,45,68,0.766,278,64,9.8,23
s-1760947420857-157,Moodle,56,61,0.722,425,48,7.2,5
s-1760947420871-158,Google,53,62,0.721,499,83,7.4,9
s-1760947420884-159,Teams,68,79,0.688,475,114,7.1,11
s-1760947420897-160,Tandemly,51,69,0.794,315,56,9.7,18
s-1760947420909-161,Moodle,55,55,0.667,288,58,7.1,0
s-1760947420921-162,Google,61,61,0.667,348,76,7.0,0
s-1760947420934-163,Teams,36,42,0.715,343,118,7.5,6
s-1760947420946-164,Tandemly,49,56,0.813,159,111,8.9,7
s-1760947420958-165,Moodle,34,34,0.689,368,49,7.1,0
s-1760947420972-166,Google,36,46,0.672,359,60,7.2,10
s-1760947420987-167,Teams,58,58,0.663,367,116,7.4,0
s-1760947421001-168,Tandemly,39,51,0.765,303,58,9.8,12
s-1760947421013-169,Moodle,38,52,0.688,422,54,7.5,14
s-1760947421025-170,Google,38,43,0.714,382,81,7.3,5
s-1760947421037-171,Teams,46,53,0.675,384,47,7.5,7
s-1760947421050-172,Tandemly,41,59,0.789,226,76,9.0,18
s-1760947421062-173,Moodle,41,54,0.663,469,90,7.5,13
s-1760947421075-174,Google,49,56,0.696,439,120,7.3,7
s-1760947421089-175,Teams,64,69,0.677,273,81,7.2,5
s-1760947421101-176,Tandemly,42,56,0.791,207,59,9.4,14
s-1760947421113-177,Moodle,37,37,0.684,426,65,7.2,0
s-1760947421125-178,Google,57,64,0.711,304,83,7.3,7
s-1760947421137-179,Teams,64,68,0.724,492,66,7.1,4
s-1760947421149-180,Tandemly,60,68,0.802,218,60,9.9,8
s-1760947421161-181,Moodle,60,60,0.719,401,41,7.1,0
s-1760947421172-182,Google,58,58,0.694,384,74,7.3,0
s-1760947421184-183,Teams,38,43,0.664,450,64,7.2,5
s-1760947421197-184,Tandemly,43,63,0.805,304,102,9.1,20
s-1760947421209-185,Moodle,49,52,0.668,470,85,7.3,3
s-1760947421226-186,Google,40,48,0.669,399,94,7.3,8
s-1760947421238-187,Teams,44,48,0.684,354,80,7.3,4
s-1760947421249-188,Tandemly,57,68,0.762,270,119,9.8,11
s-1760947421262-189,Moodle,61,72,0.734,437,55,7.5,11
s-1760947421288-190,Google,66,79,0.7,288,85,7.4,13
s-1760947421300-191,Teams,39,43,0.677,431,100,7.3,4
s-1760947421313-192,Tandemly,45,62,0.782,220,100,9.5,17
s-1760947421324-193,Moodle,57,61,0.664,355,104,7.3,4
s-1760947421336-194,Google,35,35,0.712,383,100,7.4,0
s-1760947421348-195,Teams,34,40,0.712,289,44,7.3,6
s-1760947421359-196,Tandemly,67,84,0.746,194,44,9.0,17
s-1760947421371-197,Moodle,35,41,0.672,327,54,7.4,6
s-1760947421384-198,Google,53,65,0.661,378,75,7.3,12
s-1760947421398-199,Teams,45,48,0.669,326,40,7.6,3
s-1760947421412-200,Tandemly,57,80,0.775,177,64,9.3,23
s-1760947421425-201,Moodle,42,42,0.725,462,69,7.4,0
s-1760947421438-202,Google,54,66,0.691,425,114,7.2,12
s-1760947421453-203,Teams,67,81,0.663,279,107,7.4,14
s-1760947421466-204,Tandemly,66,79,0.764,201,54,9.2,13
s-1760947421479-205,Moodle,50,56,0.724,466,102,7.2,6
s-1760947421492-206,Google,35,35,0.679,365,116,7.2,0
s-1760947421503-207,Teams,57,66,0.725,272,42,7.4,9
s-1760947421514-208,Tandemly,47,54,0.783,281,78,9.4,7
s-1760947421526-209,Moodle,39,46,0.72,425,119,7.3,7
s-1760947421540-210,Google,51,51,0.728,341,116,7.0,0
s-1760947421552-211,Teams,46,48,0.665,275,69,7.4,2
s-1760947421564-212,Tandemly,33,57,0.806,286,82,9.2,24
s-1760947421576-213,Moodle,36,43,0.732,276,56,7.4,7
s-1760947421588-214,Google,51,62,0.728,299,89,7.1,11
s-1760947421618-215,Teams,48,48,0.714,345,71,7.4,0
s-1760947421633-216,Tandemly,38,51,0.806,150,114,8.9,13
s-1760947421650-217,Moodle,51,60,0.671,289,102,7.1,9
s-1760947421666-218,Google,62,62,0.686,466,81,7.3,0
s-1760947421679-219,Teams,32,45,0.664,480,68,7.3,13
s-1760947421692-220,Tandemly,38,46,0.755,177,74,9.0,8
s-1760947421704-221,Moodle,67,70,0.725,343,58,7.4,3
s-1760947421716-222,Google,48,59,0.676,286,40,7.3,11
s-1760947421727-223,Teams,57,63,0.706,256,91,7.5,6
s-1760947421739-224,Tandemly,65,87,0.764,269,95,9.9,22
s-1760947421751-225,Moodle,59,71,0.736,278,47,7.4,12
s-1760947421761-226,Google,40,48,0.735,428,58,7.2,8
s-1760947421772-227,Teams,34,47,0.738,333,110,7.1,13
s-1760947421787-228,Tandemly,50,56,0.79,277,49,9.0,6
s-1760947421799-229,Moodle,38,47,0.687,272,112,7.3,9
s-1760947421810-230,Google,58,58,0.701,403,78,7.6,0
s-1760947421824-231,Teams,45,58,0.725,319,74,7.3,13
s-1760947421838-232,Tandemly,46,58,0.813,307,101,9.2,12
s-1760947421851-233,Moodle,47,49,0.735,356,41,7.0,2
s-1760947421865-234,Google,32,40,0.661,341,86,7.0,8
s-1760947421878-235,Teams,41,53,0.672,431,63,7.5,12
s-1760947421892-236,Tandemly,49,70,0.811,292,50,9.1,21
s-1760947421907-237,Moodle,32,39,0.7,275,46,7.3,7
s-1760947421922-238,Google,55,65,0.715,443,70,7.1,10
s-1760947421937-239,Teams,58,69,0.692,333,43,7.2,11
s-1760947421951-240,Tandemly,46,61,0.8,176,52,9.6,15
s-1760947421970-241,Moodle,55,55,0.679,287,80,7.0,0
s-1760947421984-242,Google,45,58,0.713,427,86,7.4,13
s-1760947422001-243,Teams,44,52,0.733,375,50,7.5,8
s-1760947422018-244,Tandemly,49,61,0.805,171,40,8.8,12
s-1760947422032-245,Moodle,65,74,0.673,380,94,7.5,9
s-1760947422051-246,Google,66,66,0.71,466,56,7.0,0
s-1760947422065-247,Teams,48,54,0.664,356,43,7.4,6
s-1760947422079-248,Tandemly,54,68,0.784,269,71,9.0,14
s-1760947422093-249,Moodle,62,75,0.672,396,96,7.3,13
s-1760947422109-250,Google,48,48,0.7,252,78,7.6,0
s-1760947422125-251,Teams,55,68,0.716,476,106,7.1,13
s-1760947422142-252,Tandemly,60,78,0.777,312,52,9.8,18
s-1760947422159-253,Moodle,37,44,0.693,376,98,7.6,7
s-1760947422174-254,Google,32,39,0.666,314,108,7.1,7
s-1760947422187-255,Teams,62,62,0.739,470,44,7.3,0
s-1760947422200-256,Tandemly,45,56,0.808,213,74,9.5,11
s-1760947422214-257,Moodle,65,72,0.684,272,96,7.5,7
s-1760947422226-258,Google,37,45,0.729,425,45,7.5,8
s-1760947422241-259,Teams,40,48,0.677,425,96,7.1,8
s-1760947422257-260,Tandemly,35,52,0.759,222,79,9.4,17
s-1760947422271-261,Moodle,34,34,0.72,477,49,7.3,0
s-1760947422285-262,Google,36,38,0.713,275,117,7.2,2
s-1760947422296-263,Teams,38,40,0.663,419,110,7.2,2
s-1760947422312-264,Tandemly,41,59,0.75,241,50,9.1,18
s-1760947422324-265,Moodle,64,71,0.732,323,86,7.5,7
s-1760947422336-266,Google,46,58,0.728,395,52,7.1,12
s-1760947422348-267,Teams,49,49,0.727,329,47,7.6,0
s-1760947422360-268,Tandemly,40,49,0.785,308,58,9.4,9
s-1760947422373-269,Moodle,50,57,0.667,326,55,7.3,7
s-1760947422385-270,Google,39,40,0.682,381,78,7.5,1
s-1760947422397-271,Teams,63,72,0.731,270,75,7.1,9
s-1760947422410-272,Tandemly,33,52,0.784,306,91,9.3,19
s-1760947422423-273,Moodle,41,46,0.689,385,95,7.5,5
s-1760947422436-274,Google,34,42,0.681,410,81,7.3,8
s-1760947422450-275,Teams,63,65,0.697,373,59,7.2,2
s-1760947422465-276,Tandemly,68,86,0.766,244,85,8.9,18
s-1760947422478-277,Moodle,62,63,0.732,391,111,7.1,1
s-1760947422490-278,Google,68,76,0.705,343,61,7.5,8
s-1760947422503-279,Teams,65,70,0.668,265,89,7.5,5
s-1760947422516-280,Tandemly,49,58,0.794,246,56,9.3,9
s-1760947422528-281,Moodle,51,64,0.738,489,116,7.3,13
s-1760947422544-282,Google,33,33,0.661,292,44,7.6,0
s-1760947422559-283,Teams,50,50,0.694,258,43,7.2,0
s-1760947422573-284,Tandemly,34,57,0.783,175,40,8.9,23
s-1760947422588-285,Moodle,36,45,0.719,303,106,7.0,9
s-1760947422601-286,Google,43,43,0.693,350,75,7.5,0
s-1760947422613-287,Teams,55,55,0.7,406,47,7.4,0
s-1760947422625-288,Tandemly,49,57,0.798,289,93,9.0,8
s-1760947422637-289,Moodle,61,72,0.718,333,47,7.4,11
s-1760947422649-290,Google,60,60,0.68,393,103,7.5,0
s-1760947422661-291,Teams,34,36,0.682,405,115,7.4,2
s-1760947422674-292,Tandemly,62,73,0.768,250,93,9.6,11
s-1760947422688-293,Moodle,53,53,0.68,278,44,7.3,0
s-1760947422701-294,Google,47,53,0.666,466,41,7.6,6
s-1760947422712-295,Teams,58,58,0.696,398,50,7.1,0
s-1760947422725-296,Tandemly,59,73,0.802,168,109,9.5,14
s-1760947422738-297,Moodle,58,66,0.688,335,117,7.3,8
s-1760947422751-298,Google,40,40,0.704,394,102,7.6,0
s-1760947422765-299,Teams,36,43,0.677,468,82,7.5,7
